time,request_count,regular_vm_count,evictable_vm_count,lifetime_distribution,vcpu_distribution
0.8183564813807607,0,0,0,"[1.7801622964839112e-05, 4.603423183196968e-05, 1.783816416397827e-05, 0.0007275862939412867, 0.0007276007249991733, 0.00016166422096359958, 0.0007275651202736154, 0.0007484489681010556, 0.0007484487339826602, 0.0007458562379793575, 0.0007458560038609623, 0.0007273938017966672, 0.0007483893802870826, 0.0007483891461686873, 0.000748388912050292]","[0.125, 0.125, 1.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
0.8183680553920567,0.125,1.0,0.0,"[0.00016209763030172343, 0.0007269794871548644]","[0.125, 0.125]"
0.8183796294033527,0.625,1.0,0.0,"[0.0001547546941277082, 0.0001547546941277082, 0.0011380256020408113, 0.0011380256020408113, 0.0011380256020408113, 0.0011380256020408113]","[0.125, 0.125, 0.25, 0.25, 0.25, 0.25]"
0.8183912038803101,0,0,0,[0.00015870930968436522],[0.125]
0.8184143519029021,0,0,0,"[0.000514136067233551, 0.0013899138738559325, 0.00039537379872640394, 0.010086069375038998, 0.010086068906802208, 0.010086068447930153, 0.010086067745574967, 0.010086060066491601, 0.010086059364136415, 0.010086069140920603, 0.010086068213811758]","[0.125, 1.0, 0.125, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
0.8184259259141982,0,0,0,[0.001595061016756301],[0.125]
0.8184374999254942,0,0,0,[0.0003482879538864047],[0.125]
0.8184490739367902,0.25,1.0,0.0,"[0.0008897889029314647, 0.0008897889029314647, 0.0026425490459553347]","[0.25, 0.25, 1.0]"
0.8184606479480863,0,0,0,[0.9835402513594818],[0.25]
0.8184722224250436,0.125,1.0,0.0,"[0.0005165488726860894, 0.0011287323472570783]","[0.125, 0.25]"
0.8184837964363396,0.875,1.0,0.0,"[0.010084621830365565, 0.010084621362128775, 0.010084620669138325, 0.010084620200901534, 0.01008462112801038, 0.01008461996678314, 0.010084620893891984, 0.010084619732664743]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
0.8184953704476357,0.75,1.0,0.0,"[6.742573262305272e-05, 0.001122870481510704, 0.001122870481510704, 3.7664574117713674e-05, 0.001128257283574062, 6.700281178903852e-06, 0.03218758417947853]","[0.125, 1.0, 1.0, 0.125, 0.25, 0.125, 0.5]"
0.8185069444589317,0,0,0,[1.757444383877126e-05],[0.125]
0.8185185184702277,0,0,0,[5.043551719266058e-05],[0.125]
0.8185300924815238,0,0,0,"[3.371787176281797e-05, 0.010084263844609673, 0.010084263610491277, 0.010084263376372882, 0.010084263151619224, 0.010084262917500827, 0.010084256399644703, 0.010084263151619224, 0.010084257326753547]","[0.125, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
0.8185416664928198,0.125,1.0,0.0,"[0.00010534100071845865, 0.00031002564741127066]","[0.125, 0.25]"
0.8185532409697771,0.25,1.0,0.0,"[0.0011217052742572725, 0.0011271032484504544, 0.00039660138448508034]","[1.0, 0.25, 0.25]"
0.8185648149810731,0.5,1.0,0.0,"[0.00016200498497033345, 0.00022923193234630087, 0.0011268704879418424, 0.0011268823624268523, 0.0011268823624268523]","[0.125, 0.125, 0.25, 0.25, 0.25]"
