time,request_count,regular_vm_count,evictable_vm_count,lifetime_distribution,vcpu_distribution
0.8186342590488493,5,1.0,0.0,"[0.008513414766639471, 0.017278599552810192, 0.00709425937384367, 0.00709425937384367, 0.00709425937384367]","[1, 1, 2, 2, 2]"
0.8186458335258067,1,1.0,0.0,[0.05099798599258065],[2]
0.8186574075371027,1,1.0,0.0,[0.046452546026557684],[2]
0.8186921295709908,1,1.0,0.0,[0.0017896643839776516],[1]
0.8187037035822868,2,1.0,0.0,"[0.020323009230196476, 0.04503101855516434]","[1, 2]"
0.8187152775935829,7,1.0,0.0,"[0.0040170601569116116, 0.00401709508150816, 0.02462475700303912, 0.024624838028103113, 0.03189974557608366, 0.011686238460242748, 0.011686226818710566]","[2, 2, 2, 2, 2, 2, 2]"
0.8187268520705402,4,1.0,0.0,"[0.015119744930416346, 0.016533830668777227, 0.0026907986029982567, 0.0026907986029982567]","[1, 1, 1, 1]"
0.8187384260818362,2,1.0,0.0,"[0.011663020588457584, 0.006860034540295601]","[2, 2]"
0.8187500000931323,2,1.0,0.0,"[0.011212361045181751, 0.0441189119592309]","[1, 1, 1, 2]"
0.8187615741044283,2,1.0,0.0,"[0.0017406828701496124, 0.13056420115754008]","[1, 2]"
0.8188078701496124,5,1.0,0.0,"[0.0074354978278279305, 0.006804444827139378, 0.007205486297607422, 0.011592789553105831, 0.011592777911573648]","[1, 1, 1, 1, 1]"
0.8188194446265697,9,1.0,0.0,"[0.008404154796153307, 0.008404178079217672, 0.006780705880373716, 0.008404201362282038, 0.011581250000745058, 0.011581238359212875, 0.011581226717680693, 0.013921365607529879, 0.013921353965997696]","[1, 1, 1, 1, 1, 1, 1, 2, 2]"
0.8188310186378658,0,0,0,[],[]
0.8188425926491618,3,1.0,0.0,"[0.0014127660542726517, 0.0014127660542726517, 0.01026078686118126]","[1, 1, 2]"
0.8188541666604578,3,1.0,0.0,"[0.11929395841434598, 0.11929395841434598, 0.018736689817160368]","[1, 1, 2]"
0.8188657406717539,2,1.0,0.0,"[0.007980914320796728, 0.040433287154883146]","[1, 2]"
0.8189236111938953,0,0,0,[],[]
0.8189351852051914,2,1.0,0.0,"[0.0075493864715099335, 0.007549374829977751]","[2, 2]"
0.8189583332277834,1,1.0,0.0,[0.05563937500119209],[2]
0.8189814812503755,1,1.0,0.0,[0.0017414814792573452],[1]
0.8190046297386289,6,1.0,0.0,"[0.07545486092567444, 0.07545486092567444, 0.07545484928414226, 0.07545484928414226, 0.07545483764261007, 0.07545483764261007]","[1, 1, 1, 1, 1, 1]"
0.8190162037499249,6,1.0,0.0,"[0.011453090235590935, 0.020798773039132357, 0.020798773039132357, 0.006818657275289297, 0.01737805549055338, 0.040281110908836126]","[2, 1, 1, 1, 2, 2]"
0.8190277777612209,2,1.0,0.0,"[0.024732465390115976, 0.15337138902395964]","[1, 2]"
0.819039351772517,1,1.0,0.0,[0.021957742981612682],[1]
0.819050925783813,1,1.0,0.0,[0.005851064808666706],[1]
0.819062499795109,1,1.0,0.0,[0.004423738457262516],[1]
0.8190856482833624,4,0.25,0.75,"[0.49996682861819863, 0.006410867907106876, 0.006380127277225256, 0.006074154749512672]","[1, 2, 2, 2]"
0.8190972222946584,4,0.25,0.75,"[0.0007881480269134045, 0.006624074187129736, 0.006039629690349102, 0.006574166473001242]","[1, 2, 2, 2]"
0.8191087963059545,4,1.0,0.0,"[0.007413738407194614, 0.015572569333016872, 0.04020590288564563, 0.040205891244113445]","[1, 1, 2, 2]"
0.8191203703172505,4,0.0,1.0,"[0.006214849650859833, 0.006347754504531622, 0.006237361114472151, 0.006174340378493071]","[2, 2, 2, 2]"
0.8191319443285465,2,1.0,0.0,"[0.020537384320050478, 0.006526365876197815]","[2, 1]"
0.8191435183398426,6,0.6666666666666666,0.3333333333333333,"[0.006731424015015364, 0.006731424015015364, 0.006657291669398546, 0.006657291669398546, 0.0062112268060445786, 0.0062142014503479]","[1, 1, 1, 1, 2, 2]"
0.8191550928167999,5,0.6,0.4,"[0.01513943262398243, 0.009433865547180176, 0.007136979140341282, 0.00620150426402688, 0.006198390852659941]","[2, 1, 1, 2, 2]"
0.8191666668280959,3,1.0,0.0,"[0.0008425693958997726, 0.1854455671273172, 0.1854455671273172]","[1, 2, 1, 1]"
0.819178240839392,1,1.0,0.0,[0.024160081055015326],[1]
0.819201388861984,3,1.0,0.0,"[0.00674806721508503, 0.00674806721508503, 0.007158865686506033]","[1, 1, 1]"
0.8192245368845761,2,1.0,0.0,"[0.0007364004850387573, 0.001753032673150301]","[1, 2]"
0.8192361108958721,6,0.8333333333333334,0.16666666666666666,"[0.017102546524256468, 0.007719583343714476, 0.01760943327099085, 0.013446342665702105, 0.008183032739907503, 0.008183032739907503]","[2, 1, 1, 1, 1, 1]"
0.8192476853728294,0,0,0,[],[]
0.8192592593841255,3,1.0,0.0,"[0.04282627301290631, 0.005570671055465937, 0.005673854146152735]","[2, 1, 1]"
0.8192708333954215,3,1.0,0.0,"[0.006753298453986645, 0.006753298453986645, 0.13372697914019227]","[1, 1, 2]"
0.8192824074067175,0,0,0,[],[]
0.8192939814180136,2,0.5,0.5,"[0.020346736069768667, 0.006416828837245703]","[1, 2]"
0.8193055554293096,1,1.0,0.0,[0.024891192093491554],[1]
0.8193171294406056,2,1.0,0.0,"[0.002225810196250677, 0.002225810196250677]","[1, 1, 1]"
0.819328703917563,0,0,0,[],[]
0.819340277928859,1,1.0,0.0,[0.11555681703612208],"[1, 2]"
0.8193634259514511,1,1.0,0.0,[0.04437344893813133],[2]
0.8193749999627471,5,0.8,0.2,"[0.16602361109107733, 0.16602361109107733, 0.16602361109107733, 0.16602361109107733, 0.005978483706712723]","[1, 1, 1, 1, 2]"
0.8193865739740431,0,0,0,[],[]
0.8194097219966352,0,0,0,[],[]
0.8194328704848886,1,0.0,1.0,[0.005923738237470388],[2]
0.8194444444961846,4,1.0,0.0,"[0.0008390625007450581, 0.0059255557134747505, 0.0078058564104139805, 0.02512719901278615]","[1, 1, 1, 1]"
0.8194560185074806,4,1.0,0.0,"[0.0090218516997993, 0.0090218516997993, 0.0090218516997993, 0.0090218516997993]","[1, 1, 1, 1]"
0.8194675925187767,6,1.0,0.0,"[0.0009529166854918003, 0.0009529166854918003, 0.0009529166854918003, 0.008208750281482935, 0.008208750281482935, 0.008208750281482935]","[1, 1, 1, 1, 1, 1]"
0.8194907405413687,4,1.0,0.0,"[0.0013284147717058659, 0.027728541754186153, 0.027728541754186153, 0.018580127507448196]","[1, 1, 1, 1]"
0.819502315018326,3,1.0,0.0,"[0.007810266222804785, 0.03378472197800875, 0.03378472197800875]","[1, 2, 2]"
0.8195138890296221,4,1.0,0.0,"[0.008547198958694935, 0.008547198958694935, 0.007705543655902147, 0.008756423369050026]","[1, 1, 1, 1]"
0.8195370370522141,2,1.0,0.0,"[0.021492164116352797, 0.021492164116352797]","[1, 1, 1]"
0.8195486110635102,5,1.0,0.0,"[0.007471701595932245, 0.007471701595932245, 0.007471701595932245, 0.007471701595932245, 0.019747766200453043]","[1, 1, 1, 1, 1]"
0.8195601850748062,1,1.0,0.0,[0.005982083268463612],[1]
0.8195717590861022,1,1.0,0.0,[0.0029517943039536476],[1]
0.8195833335630596,1,1.0,0.0,[0.0077690621837973595],[1]
0.8195949075743556,0,0,0,[],[]
0.8196064815856516,1,1.0,0.0,[0.0024832291528582573],[1]
0.8196180555969477,0,0,0,[],[]
0.8196296296082437,5,0.8333333333333334,0.16666666666666666,"[0.0007834490388631821, 0.0007834490388631821, 0.2880754512734711, 0.0010858564637601376, 0.06623876141384244]","[1, 1, 1, 1, 1]"
0.8196412036195397,3,1.0,0.0,"[0.006628240924328566, 0.006628240924328566, 0.006628240924328566]","[2, 2, 2]"
0.8196527776308358,0,0,0,[],[]
0.8196759261190891,3,1.0,0.0,"[0.02138820569962263, 0.19493271969258785, 0.19493271969258785]","[2, 2, 2]"
0.8196875001303852,2,0.6666666666666666,0.3333333333333333,"[0.0013710996136069298, 0.00026685185730457306]","[1, 2]"
0.8196990741416812,1,1.0,0.0,[0.0038639004342257977],"[1, 1, 1]"
0.8197106481529772,0,0,0,[],[]
0.8197222221642733,1,0.5,0.5,[0.00019197911024093628],[2]
0.8197337961755693,0,0,0,[],[]
0.8197453701868653,6,0.7777777777777778,0.2222222222222222,"[0.013099548872560263, 0.013099548872560263, 0.0002534608356654644, 0.0002534608356654644, 0.001536678522825241, 0.00012761587277054787]","[1, 1, 1, 1, 1, 2]"
0.8197685186751187,0,0,0,[],[]
0.8197800926864147,4,1.0,0.0,"[0.0002831132151186466, 0.0002831132151186466, 0.0007717940025031567, 0.0007717940025031567]","[1, 1, 1, 1]"
0.8197916666977108,2,1.0,0.0,"[0.00020668981596827507, 0.00020668981596827507]","[1, 1]"
0.8198032407090068,5,1.0,0.0,"[0.0005602664314210415, 0.0005602664314210415, 0.00025869207456707954, 0.00025869207456707954, 0.007625462953001261]","[1, 1, 1, 1, 1]"
0.8198148147203028,1,1.0,0.0,[0.010270428378134966],[1]
0.8198263887315989,2,1.0,0.0,"[0.0010612965561449528, 0.018203831277787685]","[2, 1]"
0.8198379627428949,2,1.0,0.0,"[0.005552256945520639, 0.012014618143439293]","[1, 1]"
0.8198495372198522,4,1.0,0.0,"[0.007471574004739523, 0.007386770565062761, 0.008045925758779049, 0.008045844733715057]","[1, 2, 2, 2]"
0.8198611112311482,3,1.0,0.0,"[0.01432398147881031, 0.004887754563242197, 0.07101592561230063]","[1, 1, 2]"
0.8198842592537403,1,1.0,0.0,[0.007360740564763546],[1]
0.8198958332650363,0,0,0,[],[]
0.8199189812876284,2,1.0,0.0,"[0.0007590628229081631, 0.0026325578801333904]","[1, 1]"
0.8199305557645857,3,1.0,0.0,"[0.008728020824491978, 0.010835404973477125, 0.0050559258088469505]","[1, 2, 2]"
0.8199421297758818,2,1.0,0.0,"[0.024510173592716455, 0.026845752261579037]","[2, 2]"
0.8199537037871778,2,1.0,0.0,"[0.0017007174901664257, 0.014377488289028406]","[1, 1]"
0.8199999998323619,1,1.0,0.0,[0.0017814585007727146],[1]
0.8200347223319113,1,1.0,0.0,[0.0013854163698852062],[1]
0.8200462963432074,2,1.0,0.0,"[0.0019718632102012634, 0.0019718632102012634]","[1, 1]"
0.8200578703545034,1,1.0,0.0,[0.0076803588308393955],[1]
0.8200694443657994,1,1.0,0.0,[0.010701435152441263],[1]
0.8200810183770955,1,0.0,1.0,[0.01553364610299468],[2]
0.8200925923883915,1,1.0,0.0,[0.025979953818023205],[1]
0.8201273148879409,2,1.0,0.0,"[0.04590364592149854, 0.04590364592149854]","[1, 1]"
0.8201388888992369,2,1.0,0.0,"[0.051255532540380955, 0.051255532540380955]","[1, 1]"
0.820162036921829,3,1.0,0.0,"[0.0009451969526708126, 0.0016276855021715164, 0.0016276855021715164]","[1, 1, 1]"
0.8201851854100823,4,1.0,0.0,"[0.005496122408658266, 0.005498460493981838, 0.005498067010194063, 0.005498067010194063]","[1, 1, 1, 1]"
0.8201967594213784,2,1.0,0.0,"[0.0006878008134663105, 0.0007332060486078262]","[1, 1]"
0.8202083334326744,1,1.0,0.0,[0.015278946608304977],[1]
0.8202314814552665,2,1.0,0.0,"[0.01466664345934987, 0.014316446613520384]","[2, 1]"
0.8202430554665625,4,1.0,0.0,"[0.007541828788816929, 0.007541828788816929, 0.005435544066131115, 0.025062997825443745]","[1, 1, 1, 2]"
0.8202546294778585,1,1.0,0.0,[0.0014020372182130814],[1]
0.8202662034891546,1,1.0,0.0,[0.008554270956665277],[1]
0.8202893519774079,1,1.0,0.0,[0.021144027821719646],[1]
0.8203125,1,1.0,0.0,[0.005372835788875818],[1]
0.8203356480225921,3,1.0,0.0,"[0.07330209482461214, 0.07330208364874125, 0.014800451695919037]","[1, 1, 1]"
0.8203587965108454,2,1.0,0.0,"[0.11722062481567264, 0.044906157068908215]","[2, 2]"
0.8203703705221415,1,1.0,0.0,[0.11305124964565039],[1]
0.8203935185447335,3,1.0,0.0,"[0.3199534257873893, 0.40305420150980353, 0.12990013882517815]","[1, 1, 2]"
0.8204050925560296,2,1.0,0.0,"[0.004179560113698244, 0.006029363255947828]","[1, 1]"
0.8204166665673256,3,1.0,0.0,"[0.002428356558084488, 0.017043483909219503, 0.045261284802109]","[2, 1, 2]"
0.8204282405786216,2,1.0,0.0,"[0.0008078934624791145, 0.0008078934624791145]","[1, 1]"
0.8204398145899177,2,1.0,0.0,"[0.006715845316648483, 0.006715845316648483]","[1, 1]"
0.820451389066875,6,1.0,0.0,"[0.0448145717382431, 0.1435990622267127, 0.007489536888897419, 0.007489536888897419, 0.007489536888897419, 0.007489536888897419]","[2, 2, 2, 2, 2, 2]"
0.820462963078171,4,1.0,0.0,"[0.18111603008583188, 0.02538682846352458, 0.014521620236337185, 0.014521620236337185]","[1, 2, 1, 1]"
0.8205092591233552,1,1.0,0.0,[0.00856775464490056],[1]
0.8205208331346512,0,0,0,[],[]
